,Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Graduation Rate 2008-2012,Graduation Rate 2013-2018
7,  Alabama ,41346,42082,43166,46035,45394,44233,44540,45420,45910,45490,45100,43604.6,45118.6
8,  Alaska ,7855,8008,8245,8064,7989,7860,7720,7860,7690,7930,7940,8032.2,7812
9,  Arizona ,61667,62374,61145,64472,63208,62208,66700,67200,67290,68190,66760,62573.2,66317.6
10,  Arkansas ,28725,28057,28276,28205,28419,28928,29610,30350,30610,30960,30970,28336.4,30091.6
11,  California ,374561,372310,404987,410467,418664,422125,424080,422830,424430,422200,426140,396197.8,423133
12,  Colorado ,46082,47459,49321,50122,50087,50968,51310,51450,53470,54630,56300,48614.2,52365.6
13,  Connecticut ,38419,34968,34495,38854,38681,38722,37860,37160,36660,36970,36440,37083.4,37474.4
14,  Delaware ,7388,7839,8133,8043,8247,8070,8240,8390,8360,8540,8780,7930,8320
15,District of Columbia,3352,3517,3602,3477,3860,3961,3880,3990,3950,3690,3820,3561.6,3894.2
16,  Florida ,149046,153461,156130,155493,151964,158029,158440,163740,165090,170990,173290,153218.8,163257.8
17,  Georgia ,83505,88003,91561,92338,90582,92416,94380,97420,99770,102660,104820,89197.8,97329.2
18,  Hawaii ,11613,11508,10998,10716,11360,10790,11050,10760,10920,10930,11060,11239,10890
19,  Idaho ,16567,16807,17793,17525,17568,17198,19120,18050,18180,18670,18940,17252,18243.6
20,  Illinois ,135143,131670,139035,134956,139575,139228,137640,140520,136820,137340,138320,136075.8,138309.6
21,  Indiana ,61901,63663,64551,66133,65667,66595,67560,66750,67190,67620,68200,64383,67143
22,  Iowa ,34573,33926,34462,33853,33230,32548,32590,32450,32890,33160,33590,34008.8,32727.6
23,  Kansas ,30737,30368,31642,31370,31898,31922,32150,31900,32950,33110,33610,31203,32406.4
24,  Kentucky ,39339,41851,42664,43031,42642,42888,42400,42530,43850,43510,44380,41905.4,43035.6
25,  Louisiana ,34401,35622,36573,35844,36675,37508,38180,37720,39080,39610,42120,35823,38419.6
26,  Maine ,14350,14093,14069,13653,13473,13170,12730,12560,12750,12410,12340,13927.6,12724
27,  Maryland ,59171,58304,59078,58745,58811,58896,58120,57650,57560,57130,58670,58821.8,57871.2
28,  Massachusetts ,65197,65258,64462,64724,65157,66360,65200,65790,66980,66600,66880,64959.6,66186
29,  Michigan ,115183,112742,110682,106017,105446,104210,102520,102020,100960,101010,101490,110014,102144
30,  Minnesota ,60409,59729,59667,59357,57501,58255,56370,56800,56700,57420,57950,59332.6,57109
31,  Mississippi ,24795,24505,25478,27321,26158,26502,26650,26260,27140,27510,28230,25651.4,26812.4
32,  Missouri ,61717,62969,63994,62994,61313,61407,60900,60590,61480,61060,61250,62597.4,61087.4
33,  Montana ,10396,10077,10075,9732,9750,9369,9470,9390,9420,9550,9300,10006,9439.8
34,  Nebraska ,20035,19501,19370,20331,20464,20442,20580,20650,20960,21420,22150,19940.2,20810.4
35,  Nevada ,18815,19904,20956,21182,21891,23038,22720,23040,22910,23390,23720,20549.6,23019.6
36,  New Hampshire ,14982,14757,15034,14495,14426,14262,13790,13520,13670,13490,13340,14738.8,13746.4
37,  New Jersey ,94994,95085,96225,95186,93819,96490,95220,95250,97300,96150,96510,95061.8,96082
38,  New Mexico ,18264,17931,18595,19352,20315,19232,18590,19530,19640,19890,19520,18891.4,19376.4
39,  New York ,176310,180917,183826,182759,180806,180351,178810,179110,181550,182620,186250,180923.6,180488.2
40,  North Carolina ,83307,86712,88704,89892,93977,94339,96210,97020,101420,103800,108230,88518.4,98557.8
41,  North Dakota ,6999,7232,7155,7156,6942,6900,6960,7040,7070,7140,7080,7096.8,7022
42,  Ohio ,120758,122203,123437,124229,123135,122491,119520,120940,118870,120410,120010,122752.4,120446.2
43,  Oklahoma ,37630,37219,38503,37744,37305,37033,37260,38420,39400,40280,40810,37680.2,38478.6
44,  Oregon ,34949,35138,34671,34723,34261,33899,34440,34800,35240,35180,35100,34748.4,34711.8
45,  Pennsylvania ,130298,130658,131182,130284,131733,129777,127200,123560,122970,120030,120760,130831,124707.4
46,  Rhode Island ,10347,10028,9908,9724,9751,9579,9730,9900,10160,9250,9350,9951.6,9723.8
47,  South Carolina ,35303,39114,40438,40708,41442,42246,41720,42650,44190,45110,46180,39401,43183.2
48,  South Dakota ,8582,8123,8162,8248,8196,8239,7960,8140,7840,8130,8180,8262.2,8061.8
49,  Tennessee ,57486,60368,62408,61862,62454,61323,60970,62010,62800,63470,63720,60915.6,62114.6
50,  Texas ,252121,264275,280894,290470,292531,301390,304360,309280,320840,331390,341620,276058.2,313452
51,  Utah ,28167,30463,31481,30888,31157,33186,33400,34070,35540,36780,37680,30431.2,34595.2
52,  Vermont ,7392,7209,7199,6932,6859,6491,6360,6240,6170,6080,5810,7118.2,6268.2
53,  Virginia ,77369,79651,81511,82895,83336,83279,83100,82680,84580,85770,88470,80952.4,83881.8
54,  Washington ,61625,62764,66046,66453,65205,66066,66240,68200,69990,70430,70640,64418.6,68185.2
55,  West Virginia ,17489,17690,17651,17311,17603,17924,17510,17460,17870,17830,18140,17548.8,17718.8
56,  Wisconsin ,65183,65410,64687,64135,62705,61425,60810,60460,60380,61100,61230,64424,60835
57,  Wyoming ,5494,5493,5695,5600,5553,5489,5590,5550,5740,5750,5870,5567,5623.8
