Name,Annual_Avg_Pay_2008-2012,Annual_Avg_Pay_2013-2018
Alabama  ,40324.2,44679.833333333336
Alaska  ,48227.0,53787.666666666664
Arizona  ,43764.6,48551.166666666664
Arkansas  ,36474.2,41381.833333333336
California  ,53627.0,62525.0
Colorado  ,48197.6,54716.333333333336
Connecticut  ,59772.2,65342.333333333336
Delaware  ,49248.2,54275.0
District of Columbia,79702.6,89170.66666666667
Florida  ,41728.6,46716.0
Georgia  ,44148.6,50135.0
Hawaii  ,41914.0,47466.666666666664
Idaho  ,34939.8,39589.833333333336
Illinois  ,49921.6,56174.0
Indiana  ,39483.4,44414.666666666664
Iowa  ,38363.0,44372.5
Kansas  ,39275.0,44001.166666666664
Kentucky  ,38849.4,43611.0
Louisiana  ,41619.2,45918.333333333336
Maine  ,37379.6,42231.5
Maryland  ,51779.2,57579.5
Massachusetts  ,58270.4,67092.0
Michigan  ,44975.4,50485.666666666664
Minnesota  ,47027.8,53948.166666666664
Mississippi  ,34509.8,37983.666666666664
Missouri  ,41043.6,45904.666666666664
Montana  ,34909.8,40446.166666666664
Nebraska  ,37549.6,43119.0
Nevada  ,43001.6,46644.333333333336
New Hampshire  ,46270.8,53027.333333333336
New Jersey  ,56604.0,62495.833333333336
New Mexico  ,39286.6,42765.0
New York  ,60555.8,68002.0
North Carolina  ,41186.8,47040.5
North Dakota  ,39372.0,50145.333333333336
Ohio  ,42137.6,47540.5
Oklahoma  ,38900.0,44381.666666666664
Oregon  ,42056.0,48920.166666666664
Pennsylvania  ,46075.0,52319.833333333336
Rhode Island  ,44706.8,50951.5
South Carolina  ,37655.4,42396.333333333336
South Dakota  ,34490.4,40566.666666666664
Tennessee  ,41645.0,47118.0
Texas  ,47579.4,54429.166666666664
Utah  ,39512.6,44899.166666666664
Vermont  ,39560.0,44693.0
Virginia  ,49486.8,54783.5
Washington  ,48954.6,58651.833333333336
West Virginia  ,37875.6,42388.833333333336
Wisconsin  ,40237.0,45681.5
Wyoming  ,42426.6,46178.833333333336
